 ,Image_ID,ROI_Area,PVALB,VIP,GFRA1,CCKAR,MET,PIEZO1,CHAT,FOXO1,SLC17a7,CDH13,QRFPR,Mab21L1
1,20-62-S1,1229,0,0,0,0,1.302,0.163,0,0,0,0,0,0
2,20-62-S1,1080,0,0,0,0.093,0.185,2.407,0,0,0,0.185,0.093,0
3,20-62-S1,1865,0,0,0,0.107,0.214,1.34,0,0.107,0.161,0.268,0.107,0
4,20-62-S1,2258,0,0,0,0,0.443,0.531,0,0.044,0,0.354,0,0
5,20-62-S1,1858,0,0.377,0.969,4.629,0.592,2.099,0.054,0,4.144,6.728,5.705,0
6,20-62-S1,2580,0,0,0,0.039,1.55,0.078,0,0,0.078,0.233,0.078,0.039
7,20-62-S1,1599,0,0,0,0.063,1.563,0,0,0,0,0.063,0,0
8,20-62-S1,1822,0,0,0,0,0.988,1.262,0,0,0,0.549,0,0
9,20-62-S1,941,0,0.106,0,0.106,0.425,0.319,0,0,0.531,0,0.106,0
10,20-62-S1,573,0,0,0,0,0.175,2.094,0,0,0,0.873,0,0
11,20-62-S1,1541,0,0,0,0,0.065,0.065,0,0,0.13,0.13,0.13,0
12,20-62-S1,1227,0.081,0,0,0,0.57,1.059,0,0,0,0,0,0
13,20-62-S1,1421,0,0,0,0,1.337,0,0,0,0,0,0,0
14,20-62-S1,1939,0,8.2,0,0.052,1.186,0.825,0,0.052,0,0.103,0,0.052
15,20-62-S1,2034,0,0,0,0,1.917,0.934,0,0.147,0.049,0.098,0.098,0
16,20-62-S1,1546,0,0,0,0,0.129,1.035,0,0,0.259,0.259,0.065,0
17,20-62-S1,907,0.221,0,0,0,0.221,1.323,0,0,0,1.213,0.11,0
18,20-62-S1,1334,0,0,0,0,0.975,0.45,0,0,0.15,0.3,0,0
19,20-62-S1,1908,0,0.262,0,0.314,1.153,2.568,0,0.314,1.153,0.629,0.524,0.157
20,20-62-S1,830,0,0,0,0,0,0.602,0,0,0,0,0,0
21,20-62-S1,1801,0,0,0,0.056,0.833,0.944,0,0,0.333,0,0.056,0
22,20-62-S1,1205,0,0,0,0.083,0.664,2.241,0.166,0,0,0.996,0,0
23,20-62-S1,1549,0,0,0,0.129,0.129,0.904,0,0,0,0.065,0.065,0
24,20-62-S1,1315,0,0,0,0,0.152,1.901,0,0,0,0,0,0
25,20-62-S1,798,0,0,0,0,6.391,0,0,0,1.754,0,0.125,0
26,20-62-S1,1214,0,0,0,0,0.247,1.153,0.494,0.082,0,0,0,0
27,20-62-S1,2239,0.045,0,0,0.045,6.878,0.804,0.045,0.134,4.198,2.948,0,0
28,20-62-S1,1313,0,0,0,0,1.066,0.152,0,0,0,0,0,0
29,20-62-S1,1370,0,0,0,0,0.511,1.387,0,0.073,0,0,0,0
30,20-62-S1,2268,0,0.044,0,0.044,17.989,1.102,0,0,14.594,3.924,0.044,0.044
31,20-62-S1,1204,0,0.332,0.083,0.166,8.555,2.076,0.332,0,7.973,2.243,0.415,0.083
