"Image Title","RBR","Threshold Minimum","Average Particle Size"
"18-43~s1-Sec1_T1-PVALB.tif","0","0","0"
"18-43~s1-Sec1_T10-GPR65.tif","0","0","0"
"18-43~s1-Sec1_T11-PIEZO2.tif","0","0","0"
"18-43~s1-Sec1_T12-CCKAR.tif","0","0","0"
"18-43~s1-Sec1_T2-NTSR1.tif","0","0","0"
"18-43~s1-Sec1_T3-PIEZO1.tif","0","0","0"
"18-43~s1-Sec1_T4-NPY2R.tif","0","0","0"
"18-43~s1-Sec1_T5-HTR3B.tif","0","0","0"
"18-43~s1-Sec1_T6-TRPV1.tif","0","0","0"
"18-43~s1-Sec1_T7-SCN1A.tif","0","0","0"
"18-43~s1-Sec1_T8-SCN10A.tif","0","0","0"
"18-43~s1-Sec1_T9-GLP1R.tif","0","0","0"
"18-43~s1-Sec2_T1-PVALB.tif","0","0","0"
"18-43~s1-Sec2_T10-GPR65.tif","0","0","0"
"18-43~s1-Sec2_T11-PIEZO2.tif","0","0","0"
"18-43~s1-Sec2_T12-CCKAR.tif","0","0","0"
"18-43~s1-Sec2_T2-NTSR1.tif","0","0","0"
"18-43~s1-Sec2_T3-PIEZO1.tif","0","0","0"
"18-43~s1-Sec2_T4-NPY2R.tif","0","0","0"
"18-43~s1-Sec2_T5-HTR3B.tif","0","0","0"
"18-43~s1-Sec2_T6-TRPV1.tif","0","0","0"
"18-43~s1-Sec2_T7-SCN1A.tif","0","0","0"
"18-43~s1-Sec2_T8-SCN10A.tif","0","0","0"
"18-43~s1-Sec2_T9-GLP1R.tif","0","0","0"
"18-44~s1-Sec3_T1-PVALB.tif","0","0","0"
"18-44~s1-Sec3_T10-GPR65.tif","0","0","0"
"18-44~s1-Sec3_T11-PIEZO2.tif","0","0","0"
"18-44~s1-Sec3_T12-CCKAR.tif","0","0","0"
"18-44~s1-Sec3_T2-NTSR1.tif","0","0","0"
"18-44~s1-Sec3_T3-PIEZO1.tif","0","0","0"
"18-44~s1-Sec3_T4-NPY2R.tif","0","0","0"
"18-44~s1-Sec3_T5-HTR3B.tif","0","0","0"
"18-44~s1-Sec3_T6-TRPV1.tif","0","0","0"
"18-44~s1-Sec3_T7-SCN1A.tif","0","0","0"
"18-44~s1-Sec3_T8-SCN10A.tif","0","0","0"
"18-44~s1-Sec3_T9-GLP1R.tif","0","0","0"
"18-44~s1-Sec4_T1-PVALB.tif","0","0","0"
"18-44~s1-Sec4_T10-GPR65.tif","0","0","0"
"18-44~s1-Sec4_T11-PIEZO2.tif","0","0","0"
"18-44~s1-Sec4_T12-CCKAR.tif","0","0","0"
"18-44~s1-Sec4_T2-NTSR1.tif","0","0","0"
"18-44~s1-Sec4_T3-PIEZO1.tif","0","0","0"
"18-44~s1-Sec4_T4-NPY2R.tif","0","0","0"
"18-44~s1-Sec4_T5-HTR3B.tif","0","0","0"
"18-44~s1-Sec4_T6-TRPV1.tif","0","0","0"
"18-44~s1-Sec4_T7-SCN1A.tif","0","0","0"
"18-44~s1-Sec4_T8-SCN10A.tif","0","0","0"
"18-44~s1-Sec4_T9-GLP1R.tif","0","0","0"
"18-55~s1-Sec1_T1-PVALB.tif","0","0","0"
"18-55~s1-Sec1_T10-GPR65.tif","0","0","0"
"18-55~s1-Sec1_T11-PIEZO2.tif","0","0","0"
"18-55~s1-Sec1_T12-CCKAR.tif","0","0","0"
"18-55~s1-Sec1_T2-NTSR1.tif","0","0","0"
"18-55~s1-Sec1_T3-PIEZO1.tif","0","0","0"
"18-55~s1-Sec1_T4-NPY2R.tif","0","0","0"
"18-55~s1-Sec1_T5-HTR3B.tif","0","0","0"
"18-55~s1-Sec1_T6-TRPV1.tif","0","0","0"
"18-55~s1-Sec1_T7-SCN1A.tif","0","0","0"
"18-55~s1-Sec1_T8-SCN10A.tif","0","0","0"
"18-55~s1-Sec1_T9-GLP1R.tif","0","0","0"
"18-55~s1-Sec2_T1-PVALB.tif","0","0","0"
"18-55~s1-Sec2_T10-GPR65.tif","0","0","0"
"18-55~s1-Sec2_T11-PIEZO2.tif","0","0","0"
"18-55~s1-Sec2_T12-CCKAR.tif","0","0","0"
"18-55~s1-Sec2_T2-NTSR1.tif","0","0","0"
"18-55~s1-Sec2_T3-PIEZO1.tif","0","0","0"
"18-55~s1-Sec2_T4-NPY2R.tif","0","0","0"
"18-55~s1-Sec2_T5-HTR3B.tif","0","0","0"
"18-55~s1-Sec2_T6-TRPV1.tif","0","0","0"
"18-55~s1-Sec2_T7-SCN1A.tif","0","0","0"
"18-55~s1-Sec2_T8-SCN10A.tif","0","0","0"
"18-55~s1-Sec2_T9-GLP1R.tif","0","0","0"
"18-56~s1-Sec3_T1-PVALB.tif","0","0","0"
"18-56~s1-Sec3_T10-GPR65.tif","0","0","0"
"18-56~s1-Sec3_T11-PIEZO2.tif","0","0","0"
"18-56~s1-Sec3_T12-CCKAR.tif","0","0","0"
"18-56~s1-Sec3_T2-NTSR1.tif","0","0","0"
"18-56~s1-Sec3_T3-PIEZO1.tif","0","0","0"
"18-56~s1-Sec3_T4-NPY2R.tif","0","0","0"
"18-56~s1-Sec3_T5-HTR3B.tif","0","0","0"
"18-56~s1-Sec3_T6-TRPV1.tif","0","0","0"
"18-56~s1-Sec3_T7-SCN1A.tif","0","0","0"
"18-56~s1-Sec3_T8-SCN10A.tif","0","0","0"
"18-56~s1-Sec3_T9-GLP1R.tif","0","0","0"
"18-56~s1-Sec4_T1-PVALB.tif","0","0","0"
"18-56~s1-Sec4_T10-GPR65.tif","0","0","0"
"18-56~s1-Sec4_T11-PIEZO2.tif","0","0","0"
"18-56~s1-Sec4_T12-CCKAR.tif","0","0","0"
"18-56~s1-Sec4_T2-NTSR1.tif","0","0","0"
"18-56~s1-Sec4_T3-PIEZO1.tif","0","0","0"
"18-56~s1-Sec4_T4-NPY2R.tif","0","0","0"
"18-56~s1-Sec4_T5-HTR3B.tif","0","0","0"
"18-56~s1-Sec4_T6-TRPV1.tif","0","0","0"
"18-56~s1-Sec4_T7-SCN1A.tif","0","0","0"
"18-56~s1-Sec4_T8-SCN10A.tif","0","0","0"
"18-56~s1-Sec4_T9-GLP1R.tif","0","0","0"
